X;Y;Z
0.2591;2.5812;138.4292
0.2611;2.5485;134.6744
0.2702;2.5325;130.7982
0.2685;2.4732;130.6927
0.2657;2.4493;130.1131
0.2621;2.466;125.2578
0.2577;2.4672;120.0339
0.2574;2.4945;119.4673
0.2535;2.4978;121.7046
0.2546;2.5279;124.8621
0.2695;2.5332;130.5938
0.2847;2.573;136.6745
0.2783;2.5212;140.7831
0.2637;2.5315;140.6291
0.265;2.5381;134.9516
0.2768;2.4752;127.9384
0.2872;2.489;125.4128
0.2822;2.4898;128.1923
0.2682;2.5385;129.3207
0.2475;2.5282;125.1122
0.229;2.5667;123.6039
0.2285;2.6014;128.2941
0.246;2.6595;135.8075
0.2658;2.6942;143.2705
0.2582;2.5524;146.1536
0.2653;2.4502;147.3559
0.2836;2.5366;151.6903
0.2896;2.5364;159.6471
0.2919;2.5554;166.7713
0.2973;2.5928;169.4173
0.3095;2.5814;171.4987
0.3245;2.5658;174.9418
0.3213;2.5076;175.1564
0.2979;2.5259;169.3696
0.2858;2.6071;161.7088
0.2963;2.5815;159.1057
0.3056;2.5557;156.9739
0.3103;2.4807;155.0708
0.3225;2.4838;155.7195
0.325;2.4679;157.9147
0.314;2.4572;157.0437
0.3088;2.4706;147.9053
0.3064;2.4446;136.8284
0.2926;2.4489;131.0306
0.2787;2.4614;132.3635
0.2824;2.4174;135.3286
0.2802;2.4154;134.1377
0.2797;2.3574;132.7704
0.2891;2.4543;137.61
0.3003;2.4363;144.7082
0.3132;2.4309;156.3856
0.3318;2.4373;183.8876
0.3359;2.4556;214.1128
0.3145;2.4503;226.9065
0.2957;2.4527;216.2178
0.3057;2.4391;204.4956
0.3251;2.4027;206.3583
0.3135;2.3918;212.8766
0.2955;2.4722;215.9214
0.2995;2.5271;225.8165
0.3096;2.5454;242.8807
0.32;2.3717;247.4739
0.3261;2.4246;238.5319
0.3249;2.4529;228.28
0.3272;2.4237;218.9241
0.335;2.4513;210.1096
0.3352;2.5554;207.5521
0.3307;2.5787;215.3417
0.3279;2.5529;220.8652
0.3316;2.3855;217.3458
0.345;2.2998;226.68
0.3483;2.2519;243.7077
0.3351;2.3654;254.601
0.34;2.3698;267.5866
0.3617;2.3875;279.792
0.3717;2.3828;283.6356
0.3617;2.3798;276.982
0.3311;2.4;266.7478
0.3107;2.4623;258.2945
0.3138;2.3722;250.4488
0.338;2.4251;242.3837
0.3625;2.4396;231.3964
0.3597;2.4859;215.4204
0.3394;2.5356;202.4496
0.3189;2.565;197.3553
0.3064;2.5215;195.776
0.3096;2.5742;196.9342
0.3232;2.5794;200.9561
0.3534;2.3474;216.082
0.3947;2.2722;248.0667
0.4025;2.2753;279.7358
0.3678;2.2446;290.884
0.3375;2.2859;292.6184
0.3368;2.2817;313.8707
0.363;2.2579;361.3266
0.3822;2.3168;419.5542
0.356;2.2912;456.0804
0.2782;2.3176;406.3557
0.2459;2.4023;301.8466
0.2506;2.3557;244.6241
0.2666;2.2166;251.903
0.2756;2.1824;268.6443
0.2894;2.2777;286.9642
0.3141;2.3262;334.1438
0.3378;2.3478;374.9048
0.343;2.3188;379.7209
0.3603;2.238;369.0305
0.3866;2.2211;362.7473
0.3884;2.2436;366.7112
0.3653;2.262;366.1809
0.3459;2.2333;356.6514
0.3395;2.2873;342.0912
0.3486;2.2879;320.0091
0.3699;2.205;297.3297
0.3692;2.216;288.197
0.3431;2.2546;290.1906
0.3462;2.2374;296.2528
0.3795;2.2499;308.3107
0.4092;2.1998;316.0052
0.4137;2.246;314.3774
0.3849;2.1941;316.3133
0.3541;2.1266;324.8235
0.3524;2.0933;333.3093
0.3632;2.1212;326.6872
0.3802;2.1286;315.6776
0.4031;2.1305;310.4619
0.4155;2.1767;305.1129
0.396;2.198;296.2825
0.372;2.2108;290.9045
0.3818;2.1894;287.5015
0.4113;2.1687;279.3404
0.4186;2.1382;272.7324
0.406;2.1734;271.2324
0.3983;2.25;261.964
0.3847;2.2776;238.142
0.379;2.3442;210.7187
0.3853;2.3589;198.0133
0.3875;2.3108;201.6711
0.3727;2.2613;207.9776
0.359;2.298;206.7904
0.3611;2.2806;205.0134
0.3769;2.2602;211.1475
0.3912;2.2183;218.8557
0.3812;2.2206;214.6461
0.3617;2.2144;202.7011
0.3523;2.2083;189.4102
0.3356;2.3063;176.6291
0.3225;2.3539;166.5274
0.3261;2.2722;157.2314
0.3302;2.2699;154.1897
0.331;2.3321;154.7003
0.3196;2.3295;155.436
0.3026;2.3605;162.5013
0.3029;2.3349;168.188
0.3068;2.3308;165.0799
0.2944;2.3299;161.2917
0.288;2.2979;167.0334
0.3007;2.2557;180.7236
0.3143;2.3135;190.029
0.3132;2.3245;178.4299
0.3079;2.3118;161.11
0.299;2.3541;159.0628
0.2957;2.3738;161.704
0.3001;2.4144;154.0648
0.3103;2.4321;145.8169
0.3151;2.428;140.1943
0.3089;2.4247;135.9401
0.301;2.4151;138.5039
0.2923;2.4103;141.3729
0.2846;2.4113;136.2266
0.282;2.3159;131.8259
0.2787;2.3216;136.3664
0.2817;2.3255;142.0412
0.297;2.2952;141.5354
0.315;2.2707;140.3015
0.3241;2.298;144.018
0.3245;2.3329;142.8869
0.3169;2.3637;138.4452
0.3166;2.3571;135.6134
0.327;2.3276;136.9854
0.3334;2.3052;143.5299
0.3322;2.2644;151.3093
0.3325;2.2138;157.9883
0.3422;2.287;162.4227
0.352;2.3502;164.1607
0.3372;2.3924;162.7429
0.3155;2.384;154.4949
0.3191;2.3497;143.6813
0.3249;2.3286;139.2012
0.3185;2.26;143.348
0.324;2.3101;151.9869
0.3204;2.3547;153.6072
0.2942;2.3515;143.2677
0.2847;2.3718;128.8411
0.2879;2.3066;120.0508
0.292;2.2995;120.3857
0.3111;2.3405;126.2929
0.3388;2.2878;133.7429
0.3605;2.2469;144.4316
0.3713;2.2274;155.3695
0.3581;2.2747;160.7809
0.3494;2.3151;155.4152
0.3504;2.3651;147.1084
0.3358;2.4096;140.8578
0.3182;2.3654;137.1813
0.3086;2.3345;134.456
0.3149;2.3847;134.9097
0.3233;2.4895;147.6191
0.3313;2.3812;166.7115
0.3435;2.3522;177.2593
0.3535;2.3594;176.2914
0.3565;2.3012;172.0634
0.3443;2.2888;170.3534
0.3304;2.2509;174.7411
0.3388;2.2443;181.0039
0.3516;2.2494;183.0582
0.3437;2.2962;177.7772
0.3382;2.3988;166.564
0.3454;2.4184;160.4554
0.3549;2.3259;166.2925
0.3532;2.2836;171.1617
0.3488;2.2028;167.6833
0.3618;2.1937;174.1254
0.3873;2.269;197.7614
0.3987;2.3818;218.208
0.3889;2.5794;212.4266
0.3783;2.5651;184.5521
0.3562;2.3422;158.3058
0.3473;2.2803;156.2114
0.3537;2.2743;157.5423
0.3621;2.2693;159.5527
0.3496;2.3178;157.7401
0.3214;2.3225;152.5275
0.2993;2.3722;149.1934
0.2686;2.4816;144.7263
0.2386;2.5607;132.9617
0.2356;2.6557;130.2945
0.2548;2.7827;145.0097
0.273;2.635;160.9641
0.284;2.5824;167.1689
0.2912;2.3924;165.2498
0.3091;2.4396;158.8163
0.3278;2.4524;156.2543
0.3242;2.4346;154.8047
0.3067;2.5;149.0964
0.3049;2.5161;145.6544
0.3173;2.5868;148.3751
0.3347;2.6786;151.3438
0.3232;2.5182;147.4303
0.2965;2.416;142.3194
0.2899;2.4366;143.1866
0.2917;2.5161;146.5512
0.294;2.5548;147.7944
0.3013;2.5904;148.8239
0.3004;2.6822;147.5014
0.3019;2.5671;143.2462
0.2839;2.6147;127.5999
0.2566;2.5371;105.547
0.2513;2.4766;104.6096
0.271;2.4827;128.0209
0.2968;2.4577;135.125
0.3089;2.4227;139.9299
0.3132;2.445;146.7834
0.304;2.4666;147.9867
0.2943;2.4552;146.5858
0.2975;2.442;148.9536
0.3185;2.3529;149.5322
0.3171;2.3704;142.0181
0.2963;2.4104;138.1849
0.3013;2.4377;147.7253
0.3221;2.4086;157.6728
0.3386;2.4011;157.9147
0.3446;2.4387;157.9548
0.3319;2.4627;157.8363
0.3169;2.4456;153.9424
0.3048;2.4193;147.1263
0.3005;2.5192;143.8978
0.3076;2.6114;143.0157
0.3164;2.6649;140.5172
0.3137;2.5865;143.1333
0.3026;2.4818;144.8748
0.2987;2.4922;142.8449
0.3033;2.4955;140.9315
0.303;2.4625;138.8007
0.2982;2.5005;135.5452
0.3003;2.5272;134.9917
0.3022;2.4647;139.7789
0.2975;2.5083;146.706
0.2935;2.5271;149.1777
0.2856;2.5072;150.6243
0.2786;2.5088;149.1478
0.2742;2.4564;149.2971
0.2856;2.4117;153.6801
0.3044;2.4118;158.4421
0.3162;2.4317;161.0172
0.3286;2.4133;164.4734
0.3292;2.4436;166.7759
0.3159;2.4693;164.941
0.3098;2.5065;162.7569
0.3128;2.4687;164.2158
0.3159;2.402;165.0614
0.3129;2.3745;162.084
0.3142;2.3045;159.2009
0.3233;2.2868;157.9997
0.329;2.3281;153.5401
0.3335;2.3652;147.2718
0.3189;2.4264;147.6936
0.3165;2.4301;151.8657
0.336;2.4128;156.2926
0.336;2.3792;153.3533
0.3072;2.3791;144.0844
0.2866;2.4639;137.663
0.2951;2.4413;136.9928
0.3093;2.4679;140.8233
0.3055;2.4177;142.1691
0.2954;2.433;139.805
0.2908;2.4434;143.0101
0.2906;2.4685;148.4888
0.2929;2.4559;150.2921
0.2941;2.4587;155.1053
0.2869;2.5229;151.3979
0.284;2.5464;134.4941
0.2986;2.4883;125.5184
0.3073;2.5381;144.3551
0.3077;2.572;153.3591
0.3152;2.6081;154.6928
0.3253;2.5461;151.8368
0.3338;2.3711;149.6471
0.3454;2.4269;150.7195
0.3535;2.4946;152.3025
0.3752;2.453;152.9026
0.3949;2.4113;152.3109
0.3669;2.3687;151.2329
0.3329;2.3398;149.2794
0.3163;2.3722;151.3133
0.3358;2.4051;158.163
0.3628;2.4184;157.4984
0.3481;2.5055;154.7637
0.332;2.4642;157.2596
0.3202;2.4612;160.8949
0.3095;2.4597;159.2736
0.3017;2.4216;153.5522
0.3038;2.4167;147.9914
0.3141;2.4634;148.2714
0.3122;2.4299;148.5102
0.3131;2.4277;144.5005
0.3188;2.4945;138.1698
0.326;2.5612;138.1252
0.329;2.6852;148.518
0.2913;2.7052;154.9769
0.2492;2.5304;168.2288
0.212;2.5271;186.4338
0.1758;2.5366;174.6691
0.1597;2.642;133.5244
0.164;2.6533;98.0013
0.1674;2.6243;83.2706
0.1627;2.6116;77.7739
0.1673;2.606;74.5118
0.1722;2.5375;77.2538
0.1705;2.5328;80.8313
0.1675;2.5594;80.4319
0.1632;2.5522;78.3431
0.1525;2.5411;75.586
0.1327;2.5638;70.7933
0.1194;2.5552;66.5373
0.1194;2.5292;62.2028
0.1249;2.4909;56.3872
0.1272;2.5644;54.4588
0.1202;2.6543;60.3844
0.1111;2.6574;64.158
0.1028;2.7116;60.8214
0.1025;2.7941;58.042
0.1183;2.6656;62.7599
0.1422;2.6653;69.3483
0.1478;2.6723;72.531
0.1336;2.6054;69.2327
0.1264;2.5634;63.3947
0.14;2.5189;64.6714
0.1637;2.4747;70.0885
0.187;2.4609;73.9927
0.2014;2.4127;74.3138
0.2045;2.4316;74.1384
0.2018;2.4609;74.675
0.1911;2.4885;71.5951
0.1849;2.4603;73.0212
0.1769;2.4745;78.8078
0.1631;2.4799;80.8434
0.1467;2.5215;75.0148
0.1335;2.5284;69.0881
0.1284;2.5276;69.4147
0.1335;2.5532;72.3183
0.143;2.5491;77.8559
0.1509;2.5648;86.2
0.1625;2.5608;93.355
0.1754;2.6044;94.6487
0.1865;2.6655;92.8623
0.1958;2.5794;92.823
0.2035;2.5331;92.4525
0.2138;2.5234;87.6103
0.2184;2.5437;85.221
0.2126;2.5083;86.928
0.2056;2.4799;88.0602
0.2087;2.5075;90.1005
0.213;2.5065;92.3983
0.2119;2.5229;89.2184
0.2089;2.4679;82.7747
0.2074;2.4742;81.9786
0.2099;2.5549;88.2599
0.2117;2.6264;92.6513
0.206;2.575;91.9616
0.2033;2.5712;91.4632
0.204;2.5785;90.695
0.204;2.6198;86.1412
0.2028;2.6502;82.042
0.2039;2.5125;82.1035
0.2053;2.479;81.8235
0.2012;2.4866;80.1846
0.1763;2.468;77.5301
0.1472;2.5098;73.1583
0.1419;2.5564;71.4504
0.1566;2.5714;74.6116
0.186;2.5312;78.6502
0.2141;2.5181;81.7741
0.2205;2.4276;83.4737
0.2195;2.3878;80.4226
0.2178;2.4351;77.6711
0.2154;2.3975;78.7948
0.216;2.4367;78.723
0.2139;2.4952;78.0109
0.2077;2.5116;80.1239
0.2017;2.4557;80.7725
0.196;2.4474;76.0861
0.1916;2.4289;66.3952
0.1868;2.4351;59.6183
0.1816;2.4353;61.1482
0.1979;2.4729;72.3706
0.2147;2.4716;72.8652
0.219;2.4163;67.3911
0.2165;2.3577;63.6466
0.2079;2.3957;63.7708
0.1895;2.4496;66.862
0.1478;2.464;68.6381
0.1141;2.5409;67.1317
0.1015;2.5891;64.4007
0.094;2.6695;63.4459
0.0876;2.6466;64.2373
0.0864;2.5984;61.2954
0.0919;2.5457;55.5376
0.0962;2.5122;53.6122
0.1068;2.5228;53.6758
0.1231;2.5262;57.4577
0.1509;2.5095;60.6031
0.1893;2.4743;64.0128
0.2256;2.4423;77.5187
0.2368;2.4269;103.3758
0.2357;2.5093;125.359
0.2463;2.5125;134.0319
0.2605;2.5529;134.8377
0.262;2.472;134.1228
0.264;2.4539;132.6798
0.2632;2.5025;132.2971
0.2681;2.4895;132.0302
0.273;2.4732;135.2949
0.2751;2.4313;138.6466
0.2809;2.4371;136.5224
0.2743;2.4426;133.6039
0.2653;2.5324;133.8894
0.2614;2.3009;135.4705
0.2455;2.0943;138.3648
0.2256;1.6849;142.1429
0.2247;1.419;143.4253
0.2333;1.4088;138.2444
0.2407;1.5142;125.4811
0.2509;1.9132;112.403
0.2533;2.3012;106.8271
0.2505;2.4827;105.5371
0.2464;2.5345;104.3443
0.2325;2.5815;102.0511
0.2255;2.6314;101.8149
0.2304;2.636;101.0337
0.2275;2.7617;98.7713
0.2181;2.6227;98.7872
0.2196;2.5704;101.5349
0.2278;2.4676;104.0886
0.2338;2.4543;105.2767
0.2446;2.4547;107.8238
0.2669;2.4263;114.4478
0.2952;2.4271;122.8833
0.2905;2.4423;123.8307
0.2891;2.481;123.5171
0.2888;2.449;123.8298
0.2919;2.4211;123.7103
0.3026;2.3474;120.5108
0.2913;2.3825;116.8381
0.2697;2.4822;114.207
0.2614;2.4572;113.6834
0.2605;2.4036;117.889
0.2591;2.3934;121.305
0.2647;2.4176;119.6931
0.2672;2.4154;111.63
0.2561;2.4411;99.2641
0.2445;2.4639;90.9947
0.2452;2.471;91.5547
0.2583;2.413;99.9156
0.2709;2.4053;105.9376
0.3003;2.4073;116.7942
0.3171;2.3642;122.1908
0.3163;2.3933;127.5932
0.3225;2.4717;136.0072
0.3349;2.4662;138.9985
0.3251;2.45;133.5777
0.3085;2.4534;128.1792
0.309;2.435;130.5535
0.2766;2.4497;124.148
0.2387;2.491;108.7151
0.2076;2.5439;93.2607
0.1851;2.6507;85.8594
0.1833;2.7658;86.3074
0.1905;2.7465;92.8194
0.1964;2.7126;100.1032
0.1963;2.5405;99.2594
0.1932;2.4311;94.9026
0.1988;2.4454;93.8357
0.2057;2.5065;94.8129
0.203;2.482;94.0756
0.1953;2.5036;91.437
0.203;2.5554;88.0005
0.2235;2.5161;89.5603
0.2399;2.4845;101.8544
0.2467;2.4254;114.5607
0.234;2.3597;115.0515
0.2256;2.2191;109.096
0.2346;2.0749;108.8618
0.2823;1.9508;112.3122
0.3502;1.7331;108.1958
0.4326;1.4646;87.3148
0.5216;1.1739;56.4268
0.5541;0.9651;38.0037
0.5512;0.8499;34.9837
0.5382;0.8114;42.078
0.5197;0.7688;48.1588
0.5004;0.8553;56.5759
0.4709;1.026;70.508
0.4034;1.3172;89.188
0.3559;1.6722;105.0967
0.3732;1.9171;110.0292
0.393;1.8812;106.9502
0.3669;2.1042;108.2813
0.3237;2.3658;113.1279
0.2675;2.4587;108.8708
0.2228;2.5244;102.6745
0.2008;2.615;102.6559
0.2019;2.6351;102.544
0.212;2.5519;104.4482
0.216;2.493;113.7737
0.2211;2.4686;122.6731
0.2251;2.5095;123.0671
0.2317;2.5332;117.8471
0.2513;2.5714;109.5684
0.2784;2.625;100.8855
0.2912;2.5827;99.3743
0.2943;2.5748;101.9315
0.2596;2.5389;101.1606
0.2437;2.5757;98.3327
0.242;2.6033;99.0028
0.2349;2.7151;101.1139
0.2369;2.6271;99.6085
0.2418;2.6513;98.5538
0.2403;2.6164;94.713
0.2313;2.6134;84.5136
0.2254;2.6869;75.9082
0.2201;2.6164;72.9111
0.2175;2.4805;73.3516
0.2292;2.3772;75.8707
0.2552;2.3355;82.196
0.2751;2.3521;99.7157
0.2788;2.4247;120.1306
0.2695;2.4427;125.196
0.2553;2.467;120.9616
0.2487;2.4882;117.1125
0.2347;2.4687;111.882
0.2135;2.4636;106.7319
0.219;2.4633;107.7464
0.2455;2.4494;115.2691
0.2606;2.4685;124.034
0.255;2.5063;123.5021
0.2538;2.4726;112.5644
0.2594;2.4916;100.836
0.26;2.4888;97.7306
0.2422;2.4779;95.7687
0.207;2.5098;91.0329
0.2007;2.5191;88.4494
0.2118;2.5552;87.9706
0.2097;2.5051;84.5303
0.1852;2.4572;84.2718
0.1692;2.4662;86.6023
0.1654;2.5294;89.1765
0.1764;2.59;91.6573
0.2046;2.6131;95.4906
0.2227;2.6602;102.122
0.2296;2.6101;109.5999
0.2435;2.4802;111.6
0.2721;2.5482;104.5123
0.3004;2.5823;101.8664
0.2738;2.5772;108.5014
0.2179;2.4697;110.5276
0.2022;2.4223;104.5431
0.2186;2.486;97.3507
0.227;2.583;90.1621
0.2206;2.6136;87.1026
0.2199;2.4532;85.5279
0.2282;2.42;79.983
0.2262;2.3731;75.0624
0.2153;2.3853;74.2224
0.2069;2.388;77.5368
0.2071;2.3863;83.5596
0.2093;2.4193;86.2813
0.2061;2.459;91.4324
0.2023;2.4945;97.529
0.211;2.4735;101.3641
0.2393;2.5168;105.5904
0.2761;2.6775;112.5233
0.2925;2.7183;121.532
0.2863;2.5841;132.1012
0.2709;2.6317;138.8127
0.2558;2.5086;134.8124
0.244;2.5352;125.5761
0.2375;2.6124;122.8451
0.2403;2.6333;121.6064
0.2453;2.5812;114.0341
0.2547;2.5502;104.4218
0.262;2.5366;104.7103
0.2598;2.4978;110.9208
0.2673;2.5018;115.6146
0.2855;2.5575;122.822
0.2973;2.5232;134.8201
0.2909;2.4845;140.265
0.2719;2.567;132.4107
0.2571;2.7261;116.3507
0.2573;2.7342;104.6737
0.2572;2.5684;99.8222
0.2553;2.4795;97.4617
0.2594;2.4594;93.8049
0.2717;2.5121;90.2049
0.271;2.5198;87.012
0.26;2.4932;85.9911
0.255;2.4902;92.6292
0.2664;2.5241;102.3369
0.2805;2.432;109.7616
0.2789;2.3744;112.637
0.2774;2.4001;110.1908
0.291;2.4451;112.0633
0.296;2.3997;118.5891
0.278;2.3964;118.4124
0.2655;2.4098;111.5695
0.2743;2.4003;105.3217
0.2726;2.3951;103.8524
0.26;2.3437;102.9463
0.2617;2.3059;106.856
0.274;2.2286;115.7487
0.2787;2.1163;119.0761
0.2858;1.9111;116.0261
0.3111;1.5065;112.3785
0.3597;1.2437;95.7044
0.4469;1.0127;66.0563
0.5342;0.9732;53.9095
0.4452;1.421;69.5014
0.3127;2.2366;93.8221
0.2396;2.5106;99.0277
0.2238;2.4679;90.5805
0.2243;2.4659;91.8375
0.2332;2.4872;99.5907
0.2582;2.5198;109.6642
0.2677;2.5101;115.3492
0.2554;2.5332;113.7776
0.2546;2.5384;111.1392
0.258;2.5578;110.2309
0.263;2.6163;111.4472
0.2788;2.6157;117.9179
0.2898;2.5784;122.0666
0.3001;2.5757;120.2457
0.314;2.5537;117.1022
0.3255;2.5489;115.8655
0.3147;2.5254;115.0974
0.2833;2.4962;113.8299
0.272;2.5192;113.3222
0.2781;2.5765;112.8014
0.2928;2.6374;115.3597
0.3096;2.7479;118.0457
0.3025;2.682;116.7653
0.2945;2.5242;117.7966
0.299;2.5554;118.7085
0.3116;2.5116;118.4453
0.3239;2.4622;118.7972
0.3216;2.4517;121.6383
0.3158;2.5033;122.4913
0.3015;2.5392;118.2969
0.31;2.5189;113.7067
0.3213;2.5372;112.2704
0.3202;2.6432;115.8963
0.3199;2.5818;117.5008
0.334;2.5235;115.4091
0.3413;2.5532;114.8575
0.3442;2.5704;115.5986
0.36;2.566;117.4765
0.3649;2.5681;121.3115
0.3503;2.5782;119.2853
0.3365;2.5724;117.8584
0.3326;2.5757;121.0671
0.3306;2.5717;121.9248
0.329;2.567;120.5229
0.3215;2.61;117.0313
0.3237;2.6351;115.678
0.3299;2.6341;120.8813
0.3241;2.5861;125.3091
0.3171;2.5622;122.4259
0.3118;2.6234;117.2758
0.3145;2.5953;114.8566
0.31;2.6024;117.078
0.2962;2.631;118.8224
0.284;2.6138;115.6052
