formula,formula_with_coefficients,params_num,r2,adj_r2,std_err,max_err,f_stat,func_type,n_dims
z=A+B/x+C/x^2+D/x^3+E/x^4+Fy+Gy^2,z=-6393.8+4941.4/x-1635/x^2+235.58/x^3-12.505/x^4+771.23y-144.42y^2,7,0.39595,0.34999,11.152,25.85,8.6149,simple,3
z=A+B/x+C/x^2+D/x^3+E/x^4+Fy+Gy^2,z=-6393.8+4941.4/x-1635/x^2+235.58/x^3-12.505/x^4+771.23y-144.42y^2,7,0.39595,0.34999,11.152,25.85,8.6149,simple,3
z=A+Blnx+Cy+D(lnx)^2+Ey^2+Fylnx,z=489.9+1438.9lnx+529.54y+350.61(lnx)^2-133.36y^2-130.93ylnx,6,0.39566,0.35667,11.095,23.611,10.148,simple,3
z=A+Blnx+Cy+D(lnx)^2+Ey^2+Fylnx,z=489.9+1438.9lnx+529.54y+350.61(lnx)^2-133.36y^2-130.93ylnx,6,0.39566,0.35667,11.095,23.611,10.148,simple,3
z=A+Bx+Cx^2+Dx^3+Ex^4+Fy,z=-6224.5+120015x-858928x^2+2692724x^3-3118419x^4+49.784y,6,0.3951,0.35608,11.1,25.926,10.124,simple,3
z=A+Bx+Cx^2+Dx^3+Ex^4+Fy,z=-6224.5+120015x-858928x^2+2692724x^3-3118419x^4+49.784y,6,0.3951,0.35608,11.1,25.926,10.124,simple,3
z=A+B/x+C/y+D/x^2+E/y^2+F/(xy),z=-251.78-89.568/x+3316.7/y+18.093/x^2-3382.8/y^2-219.94/(xy),6,0.39465,0.3556,11.104,23.911,10.105,simple,3
z=A+B/x+C/y+D/x^2+E/y^2+F/(xy),z=-251.78-89.568/x+3316.7/y+18.093/x^2-3382.8/y^2-219.94/(xy),6,0.39465,0.3556,11.104,23.911,10.105,simple,3
z=A+Blnx+C(lnx)^2+Dy+Ey^2,z=-228.39+1020.9lnx+318.26(lnx)^2+870.88y-165.11y^2,5,0.39457,0.36237,11.046,23.505,12.252,simple,3
z=A+Blnx+C(lnx)^2+Dy+Ey^2,z=-228.39+1020.9lnx+318.26(lnx)^2+870.88y-165.11y^2,5,0.39457,0.36237,11.046,23.505,12.252,simple,3
z=A+Blnx+Clny+D(lnx)^2+E(lny)^2+Flnxlny,z=757.21+1435.2lnx+867lny+349.75(lnx)^2-684.79(lny)^2-357.11lnxlny,6,0.39348,0.35434,11.115,23.722,10.055,simple,3
z=A+Blnx+Clny+D(lnx)^2+E(lny)^2+Flnxlny,z=757.21+1435.2lnx+867lny+349.75(lnx)^2-684.79(lny)^2-357.11lnxlny,6,0.39348,0.35434,11.115,23.722,10.055,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+E(lnx)^4+Fy,z=-43540-115187lnx-113565(lnx)^2-49448(lnx)^3-8025.8(lnx)^4+49.5y,6,0.39228,0.35307,11.126,25.528,10.005,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+E(lnx)^4+Fy,z=-43540-115187lnx-113565(lnx)^2-49448(lnx)^3-8025.8(lnx)^4+49.5y,6,0.39228,0.35307,11.126,25.528,10.005,simple,3
z=A+Blnx+C(lnx)^2+Dlny+E(lny)^2,z=51.911+1007.9lnx+314.03(lnx)^2+1756.4lny-898.64(lny)^2,5,0.39219,0.35986,11.067,23.575,12.131,simple,3
z=A+Blnx+C(lnx)^2+Dlny+E(lny)^2,z=51.911+1007.9lnx+314.03(lnx)^2+1756.4lny-898.64(lny)^2,5,0.39219,0.35986,11.067,23.575,12.131,simple,3
z=A+Blnx+C/y+D(lnx)^2+E/y^2+F(lnx)/y,z=13.373+719.32lnx+3726.4/y+349.09(lnx)^2-3315.1/y^2+963.88(lnx)/y,6,0.3916,0.35235,11.132,23.728,9.9769,simple,3
z=A+Blnx+C/y+D(lnx)^2+E/y^2+F(lnx)/y,z=13.373+719.32lnx+3726.4/y+349.09(lnx)^2-3315.1/y^2+963.88(lnx)/y,6,0.3916,0.35235,11.132,23.728,9.9769,simple,3
z=(A+Blnx+C(lnx)^2+D(lnx)^3+Ey)/(1+Flnx+Gy),z=(-1364403-11049141lnx-21552073(lnx)^2-7163857(lnx)^3+4924384y)/(1+28350lnx+29695y),7,0.39151,0.34521,11.193,24.113,8.4561,simple,3
z=(A+Blnx+C(lnx)^2+D(lnx)^3+Ey)/(1+Flnx+Gy),z=(-1364403-11049141lnx-21552073(lnx)^2-7163857(lnx)^3+4924384y)/(1+28350lnx+29695y),7,0.39151,0.34521,11.193,24.113,8.4561,simple,3
z=(A+Blnx+C(lnx)^2+Dy)/(1+Elnx+Fy),z=(2164468+3584160lnx+1023919(lnx)^2+476502y)/(1+3137.4lnx+3001.3y),6,0.39123,0.35196,11.135,24.042,9.9614,simple,3
z=(A+Blnx+C(lnx)^2+Dy)/(1+Elnx+Fy),z=(2164468+3584160lnx+1023919(lnx)^2+476502y)/(1+3137.4lnx+3001.3y),6,0.39123,0.35196,11.135,24.042,9.9614,simple,3
z=A+Bx+Cy+Dx^2+Ey^2+Fxy,z=-917.53-1204x+844.41y+6406.5x^2-131.61y^2-572.18xy,6,0.39105,0.35177,11.137,23.406,9.9538,simple,3
z=A+Bx+Cy+Dx^2+Ey^2+Fxy,z=-917.53-1204x+844.41y+6406.5x^2-131.61y^2-572.18xy,6,0.39105,0.35177,11.137,23.406,9.9538,simple,3
z=(A+Bx+Cy+Dy^2)/(1+Ex+Fx^2+Gy),z=(-58379610+49671839x+45906227y-10370390y^2)/(1+1386902x-2191654x^2-69805y),7,0.3906,0.34423,11.202,23.0,8.424,simple,3
